A0A024HKB0	EXPREG_000000010
G3XCU6	EXPREG_000000480
G3XCU9	EXPREG_000000490
G3XCV0	EXPREG_0000004A0
G3XCV1	EXPREG_0000004B0
G3XCW6	EXPREG_0000004C0
G3XCY4	EXPREG_0000004D0
G3XD77	EXPREG_0000004E0
G3XD78	EXPREG_0000004F0
G3XD97	EXPREG_000000500
G3XDC4	EXPREG_0000018E0
G5L2G2	EXPREG_000001810
G8QCB1	EXPREG_000000510
H2GUE0	EXPREG_000000520
H7C6K3	EXPREG_000000530
H7C6Q1	EXPREG_000000540
H7C6V6	EXPREG_000000550
H9L4T0	EXPREG_000000560
I1ZJY9	EXPREG_000000570
I3NI96	EXPREG_000000580
I6L8Z5	EXPREG_0000005A0
I6XF43	EXPREG_0000005B0
I6XGD8	EXPREG_0000005C0
I6Y1J7	EXPREG_0000005D0
I7CA98	EXPREG_0000005E0
K7WA79	EXPREG_0000005F0
M4MS71	EXPREG_000000600
M4MSP4	EXPREG_000000610
M4U7P6	EXPREG_000000630
M9TRG5	EXPREG_000000640
N0CDN9	EXPREG_000000650
O07434	EXPREG_000001890
O24973	EXPREG_000000660
O25896	EXPREG_000000670
O32222	EXPREG_0000018C0
O32238	EXPREG_000000680
O34015	EXPREG_000000690
O34844	EXPREG_0000006A0
O51712	EXPREG_0000006B0
O69980.1	EXPREG_000001990
O85175	EXPREG_0000006C0
P03031	EXPREG_0000006D0
P0A0S8	EXPREG_0000006E0
P0A126	EXPREG_0000006F0
P0A128	EXPREG_000000700
P0A153	EXPREG_000000710
P0A171	EXPREG_000000720
P0A2T6	EXPREG_000000730
P0A2T8	EXPREG_000000740
P0A3E5	EXPREG_000000750
P0A4U6	EXPREG_000000760
P0A6R3	EXPREG_000000770
P0A6X7	EXPREG_000000780
P0A6Z6	EXPREG_000000790
P0A7C2	EXPREG_0000007A0
P0A8N0	EXPREG_0000007B0
P0A9A9	EXPREG_0000007C0
P0A9E0	EXPREG_0000007D0
P0A9E5	EXPREG_0000007E0
P0A9F1	EXPREG_0000007F0
P0A9G4	EXPREG_000001940
P0A9Q1	EXPREG_000000800
P0AA16	EXPREG_000000810
P0AC51	EXPREG_000000820
P0ACF8	EXPREG_000000830
P0ACJ0	EXPREG_000000840
P0ACJ8	EXPREG_000000850
P0ACL9	EXPREG_000000860
P0ACU2	EXPREG_000000870
P0AF28	EXPREG_000000880
P0C077	EXPREG_000000890
P0C079	EXPREG_0000008A0
P0C6C8	EXPREG_0000008B0
P0CAW8	EXPREG_0000008C0
P0DJO8	EXPREG_0000008D0
P0DM78	EXPREG_0000008E0
P0DN68	EXPREG_0000003B0
P10151	EXPREG_0000008F0
P10958	EXPREG_000000900
P11720	EXPREG_000000910
P13920	EXPREG_000000920
P18811	EXPREG_000000930
P23620	EXPREG_000000940
P23836	EXPREG_000000950
P23873	EXPREG_000000960
P23874	EXPREG_000000970
P24255	EXPREG_000000990
P24734	EXPREG_0000009A0
P25084	EXPREG_0000009B0
P25144	EXPREG_0000009C0
P26275	EXPREG_0000009D0
P26979	EXPREG_0000009E0
P26993	EXPREG_0000009F0
P31080	EXPREG_000000A00
P31778	EXPREG_000001870
P32265	EXPREG_000000A10
P33086	EXPREG_000000A20
P33117	EXPREG_000000A30
P33905	EXPREG_000000A40
P35327	EXPREG_000000A50
P37452	EXPREG_000000A60
P37736	EXPREG_000000A70
P39779	EXPREG_000000A80
P40819	EXPREG_000000A90
P40883	EXPREG_000000AA0
P44858	EXPREG_000000AB0
P46924	EXPREG_000000AC0
P49988	EXPREG_000000AD0
P50350	EXPREG_000000AE0
P52003	EXPREG_000000AF0
P52106	EXPREG_000000B00
P52698	EXPREG_0000018F0
P54292	EXPREG_000000B10
P54294	EXPREG_000000B20
P54479	EXPREG_000000B30
P54574	EXPREG_000000B40
P55222	EXPREG_000000B50
P57902	EXPREG_000000B60
P59479	EXPREG_000000B70
P60511	EXPREG_000000B80
P61608	EXPREG_000000B90
P61609	EXPREG_000000BA0
P61611	EXPREG_000000BB0
P71086	EXPREG_000000BC0
P72131	EXPREG_000000BD0
P73722	EXPREG_000000BE0
P74171	EXPREG_000000BF0
P74426	EXPREG_000000C00
P74739	EXPREG_000000C10
P96440	EXPREG_000000C20
P9WJB7	EXPREG_000000C30
P9WMG5	EXPREG_000000C40
P9WMK7	EXPREG_000000C50
P9WN85	EXPREG_000000C60
P9WP49	EXPREG_000000C70
Q03456	EXPREG_000000C80
Q03AX7	EXPREG_000000C90
Q06198	EXPREG_000000CA0
Q0PB47	EXPREG_000000CB0
Q0PBE2	EXPREG_000000CC0
Q0PBF4	EXPREG_000000CD0
Q0PBI7	EXPREG_000000CE0
Q0WF12	EXPREG_000000CF0
Q0WJZ2	EXPREG_000000D00
Q18AR8	EXPREG_000000D10
Q18B74	EXPREG_000000D20
Q18BE1	EXPREG_000000D30
Q1CU85	EXPREG_000000D40
Q1D406	EXPREG_000000D50
Q1D7Q3	EXPREG_000000D60
Q1J8D4	EXPREG_000000D70
Q2FY73	EXPREG_000000D80
Q2G282	EXPREG_000000D90
Q2G295	EXPREG_000000DA0
Q2SVP7	EXPREG_000000DB0
Q3BW17	EXPREG_000001910
Q3K4G1	EXPREG_000000DC0
Q3Z9S7	EXPREG_000000DD0
Q47149	EXPREG_000000DE0
Q47150	EXPREG_000000DF0
Q47588	EXPREG_000001970
Q49848	EXPREG_000000E00
Q4KFB4	EXPREG_000000E10
Q4KKK3	EXPREG_000000E20
Q4UZF6	EXPREG_000000E30
Q500P4	EXPREG_000000E40
Q51472	EXPREG_000000E50
Q55432	EXPREG_000000E60
Q5DYQ0	EXPREG_000000E70
Q5E2D6	EXPREG_000000E80
Q5E2H1	EXPREG_000000E90
Q5E2Y1	EXPREG_000000EA0
Q5E6P1	EXPREG_000000EB0
Q5F5Y9	EXPREG_000000EC0
Q5F961	EXPREG_000000ED0
Q5H3E9	EXPREG_000000EE0
Q5HI51	EXPREG_000000EF0
Q5M4N8	EXPREG_000000F00
Q5SHL1	EXPREG_0000018B0
Q667Y0	EXPREG_000000F10
Q6MHM9	EXPREG_000000F20
Q6VQX1	EXPREG_000000F30
Q72P22	EXPREG_000000F40
Q747A3	EXPREG_000000F50
Q74BZ1	EXPREG_000000F60
Q74D24	EXPREG_000000F70
Q74EF9	EXPREG_000000F80
Q79VI7	EXPREG_000000F90
Q79YV4	EXPREG_000000FA0
Q7A2F4	EXPREG_000000FB0
Q7AKQ8	EXPREG_000000FC0
Q7APB9	EXPREG_000000FD0
Q7BR72	EXPREG_000000FE0
Q7CFV3	EXPREG_000000FF0
Q7CFX0	EXPREG_000001000
Q7CL10	EXPREG_000001010
Q7CQY3	EXPREG_000001020
Q7M7I9	EXPREG_000001030
Q7MBU9	EXPREG_000001040
Q7MD38	EXPREG_000001050
Q7ME71	EXPREG_000001060
Q7MFA2	EXPREG_000001070
Q7MHU7	EXPREG_000001080
Q7MLV6	EXPREG_000001090
Q7MMB6	EXPREG_0000010A0
Q7VHS0	EXPREG_0000010B0
Q81WK7	EXPREG_0000010C0
Q820Q2	EXPREG_0000010D0
Q87KN2	EXPREG_0000010E0
Q87L53	EXPREG_0000010F0
Q87WN7	EXPREG_000001110
Q87Z28	EXPREG_000001120
Q87ZC1	EXPREG_000001130
Q883X4	EXPREG_000001140
Q884G0	EXPREG_000001150
Q88C74	EXPREG_000001160
Q88CY1	EXPREG_000001170
Q88E47	EXPREG_000001180
Q88EH4	EXPREG_000001190
Q88F34	EXPREG_0000011A0
Q88GK5	EXPREG_0000011B0
Q88HH7	EXPREG_0000011C0
Q88KZ5	EXPREG_0000011D0
Q88N41	EXPREG_0000011E0
Q88P32	EXPREG_0000011F0
Q88PE9	EXPREG_000001200
Q88PQ6	EXPREG_000001210
Q88QR4	EXPREG_000001220
Q88RJ2	EXPREG_000001230
Q8DNK2	EXPREG_000001240
Q8DU28	EXPREG_000001250
Q8DY68	EXPREG_000001260
Q8DZ36	EXPREG_000001860
Q8E7C5	EXPREG_000001270
Q8EAB9	EXPREG_000001280
Q8EBJ8	EXPREG_000001290
Q8EE50	EXPREG_0000012A0
Q8EE97	EXPREG_0000012B0
Q8EEF6	EXPREG_0000012C0
Q8EFN3	EXPREG_0000012D0
Q8EHJ3	EXPREG_0000012E0
Q8EI70	EXPREG_0000012F0
Q8F663	EXPREG_000001300
Q8NNC4	EXPREG_000001310
Q8NP59	EXPREG_000001320
Q8P5C9	EXPREG_000001330
Q8P6Y4	EXPREG_000001340
Q8P9D2	EXPREG_000001350
Q8PAI3	EXPREG_000001360
Q8PAL3	EXPREG_000001370
Q8PBF5	EXPREG_000001380
Q8PBM1	EXPREG_000001390
Q8PN77	EXPREG_0000013B0
Q8UFK2	EXPREG_0000013C0
Q8XVU0	EXPREG_000001900
Q8Y5U9	EXPREG_0000013D0
Q8Y7H7	EXPREG_0000013E0
Q8Y7J7	EXPREG_0000013F0
Q8YMM5	EXPREG_000001400
Q8YU81	EXPREG_000001410
Q8Z1P4	EXPREG_000001420
Q8Z9H8	EXPREG_000001430
Q92L12	EXPREG_000001440
Q92LL6	EXPREG_000001450
Q92LT2	EXPREG_000001460
Q92MX6	EXPREG_000001470
Q92PW3	EXPREG_000001480
Q92TL9	EXPREG_000001490
Q92Y01	EXPREG_0000014A0
Q936X4	EXPREG_0000014B0
Q93TT6	EXPREG_0000014C0
Q9A1M6	EXPREG_0000014D0
Q9A3Y5	EXPREG_0000014E0
Q9A724	EXPREG_0000014F0
Q9A8Q6	EXPREG_000001500
Q9AIU0	EXPREG_000001510
Q9CF33	EXPREG_000001520
Q9CG39	EXPREG_000001530
Q9CHA6	EXPREG_000001540
Q9HTI4	EXPREG_000001550
Q9HTL4	EXPREG_000001560
Q9HUS3	EXPREG_000001570
Q9HUT5	EXPREG_000001580
Q9HV30	EXPREG_000001590
Q9HV39	EXPREG_0000015A0
Q9HV73	EXPREG_0000015B0
Q9HW47	EXPREG_0000015C0
Q9HW86	EXPREG_0000015D0
Q9HXD3	EXPREG_0000015E0
Q9HXI7	EXPREG_0000015F0
Q9HXW2	EXPREG_000001600
Q9HZJ9	EXPREG_000001610
Q9HZR6	EXPREG_000001620
Q9HZZ4	EXPREG_000001630
Q9I063	EXPREG_000001640
Q9I0P6	EXPREG_000001650
Q9I0Z0	EXPREG_000001660
Q9I1P2	EXPREG_000001670
Q9I1R1	EXPREG_000001680
Q9I516	EXPREG_000001690
Q9JZ70	EXPREG_0000016A0
Q9K1H8	EXPREG_0000016B0
Q9KKZ8	EXPREG_0000016C0
Q9KNW6	EXPREG_0000016D0
Q9KP49	EXPREG_0000016E0
Q9KPA6	EXPREG_0000016F0
Q9KQ67	EXPREG_000001700
Q9KQU4	EXPREG_000001710
Q9KR96	EXPREG_000001720
Q9KSX6	EXPREG_000001730
Q9KT56	EXPREG_000001740
Q9KU59	EXPREG_000001750
Q9KVP9	EXPREG_000001760
Q9L062	EXPREG_000001770
Q9L2H5	EXPREG_000001780
Q9L4P1	EXPREG_000001790
Q9PDH1	EXPREG_0000017A0
Q9PFB1	EXPREG_0000017B0
Q9PH24	EXPREG_0000017C0
Q9Z8Z1	EXPREG_0000017D0
Q9ZFA4	EXPREG_0000017E0
Q9ZIP8	EXPREG_0000017F0
Q9ZM26	EXPREG_000001800
S5RJF3	EXPREG_000001820
T1ZD52	EXPREG_000001830
V6AIV4	EXPREG_000001840
